Gene	Cond0	Cond1	Cond2	Cond3	Cond4
VNG1007H	1.709908	0.000000	0.465419	-1.021898	-0.141649
VNG2562H	0.039849	-0.302854	-0.350673	2.048248	0.000000
VNG6265G	0.214609	0.167500	0.000000	-2.151322	-0.125625
VNG2499G	-0.766432	0.370002	0.000000	1.779532	-0.510955
VNG1707G	-1.663409	-0.263113	0.325547	1.056911	0.000000
VNG1706G	-2.151955	0.000000	0.248506	-0.237931	0.169195
VNG5137H	0.187832	-0.543724	0.049429	-2.224324	0.000000
VNG1564H	-0.756516	0.000000	0.036521	1.888681	-0.208694
VNG2556H	-0.096748	0.468855	-0.104190	2.240083	0.000000
VNG1190G	-0.690850	0.000000	0.177380	1.969856	-0.056015
VNG1774G	-0.206604	0.169040	0.000000	-1.803091	0.920328
VNG0367H	0.553431	0.422108	-1.322606	0.000000	-1.585251
VNG2158G	-1.790733	0.948662	0.000000	-0.437024	0.053296
VNG1414G	0.028614	0.000000	-0.017884	2.192522	-0.160952
VNG1997G	0.000000	0.000000	0.214633	-1.576212	1.214019
VNG1542G	0.000000	0.295087	-0.152303	2.236949	-0.019038
VNG0315G	0.296476	-0.025558	0.000000	-2.054883	0.332257
VNG1703G	-2.019559	-0.063654	0.214108	0.497656	0.000000
VNG5055G	0.000000	0.382152	-0.560489	2.050881	-0.044584
VNG0816G	0.000000	0.597127	-2.024161	0.020242	-0.576886
VNG1139G	-1.377378	-0.567601	0.000000	1.347105	0.113520
VNG1326H	0.228198	-0.294255	-0.282244	2.095815	0.000000
VNG2197H	-0.135848	0.170981	-0.138190	2.192306	0.000000
VNG2301G	0.000000	-0.128043	-0.042681	2.219407	0.149383
VNG2093G	-0.240762	-0.294933	0.186590	2.106665	0.000000
VNG6195H	0.376077	-0.235048	0.148864	-2.107598	0.000000
VNG0681G	-0.050947	0.000000	0.058226	2.139792	-0.305685
VNG5030G	0.575086	-0.186057	0.000000	-1.900038	0.484876
VNG1551G	-1.576090	0.038677	0.000000	1.237666	-0.154708
VNG1263C	0.605566	-0.052333	0.000000	1.913888	-0.747613
VNG1624G	-0.146285	0.030476	-0.006095	2.200373	0.000000
VNG6182H	0.062566	-0.298926	0.000000	-2.224568	0.152939
VNG2529G	-0.771077	0.538299	0.000000	1.774933	-0.451007
VNG1123G	0.226169	-0.014360	0.000000	-2.150402	0.089750
VNG0378C	0.611076	1.388124	-0.271589	-1.290050	0.000000
VNG1486H	0.221437	-0.129808	0.000000	2.222009	-0.068722
VNG0864G	-0.109114	0.288373	-0.249403	2.174485	0.000000
VNG1690G	-1.591320	-0.388989	0.000000	1.166968	0.183886
VNG6264G	0.500123	0.253227	0.000000	-2.019485	-0.417824
VNG1559H	-0.960733	0.000000	0.087339	1.766196	-0.208644
VNG0999H	0.283661	0.000000	-0.008864	-2.127454	0.097508
VNG2248H	0.113091	-2.251989	0.044253	-0.408112	0.000000
VNG0452G	-0.496662	0.137010	0.000000	2.046588	-0.145573
VNG2442H	0.000000	-0.007491	0.134835	2.127403	-0.389525
VNG1281H	-0.117884	0.579594	0.000000	-1.856666	0.579594
VNG1349C	0.180208	0.000000	-0.211279	-2.187357	0.124282
VNG2259C	0.000000	0.045095	-0.248020	2.134476	-0.142799
VNG2299H	-0.222211	0.080804	-0.020201	2.181707	0.000000
VNG1013G	0.082996	0.000000	-1.825918	-0.514577	0.879760
VNG5083H	0.510694	-0.475064	0.000000	-2.054652	0.118766
VNG1948H	1.083703	0.000000	-0.033175	-1.702963	0.033175
VNG1318H	0.219630	0.233077	-0.340651	-2.146996	0.000000
VNG0021H	-0.082644	1.396680	0.950403	-1.173542	0.000000
VNG6332H	0.185290	-0.336546	0.000000	-2.166754	0.211760
VNG2625C	0.558694	0.076186	-0.220092	-2.040081	0.000000
VNG1715G	-1.987315	0.000000	0.195245	-1.310931	0.160380
VNG1189H	-0.287776	-0.236992	0.000000	2.116001	0.253920
VNG2193G	-0.685657	0.000000	-0.233747	1.924514	0.077916
VNG1320G	0.000000	-0.196961	0.265897	-2.008999	0.512098
VNG0248C	-0.340849	0.000000	0.254365	2.116315	-0.172968
VNG6212G	0.185048	0.000000	-0.308413	2.150076	-0.079306
VNG1969G	0.233320	0.000000	0.000000	-2.037067	0.421772
VNG2063G	0.242333	0.000000	-0.333208	2.053772	-0.357441
VNG1143G	-1.096283	0.000000	0.171966	1.698164	-0.014330
VNG5108H	0.190284	-0.095142	0.000000	-2.087838	0.359425
VNG0795G	-0.022311	0.195224	0.000000	2.164196	-0.312358
VNG0604H	0.000000	-0.480819	-2.232372	0.000000	0.206065
VNG2372G	-0.470832	0.240425	0.000000	1.893345	-0.601062
VNG1529G	-0.067611	-2.062150	0.000000	0.495818	0.045074
VNG1566G	-0.159615	0.149639	-0.094771	2.194706	0.000000
VNG1811G	1.701880	0.000000	-0.725392	1.185736	-0.111599
VNG2006C	0.015824	-0.242632	0.000000	-2.162587	0.332300
VNG1101C	0.133945	-0.410208	0.000000	-2.118012	0.376721
VNG6322H	0.597667	0.000000	-0.026761	-1.900045	0.437099
VNG0628G	0.000000	0.052387	-0.459844	1.816094	-0.756706
VNG2073C	-0.037374	0.161954	-2.105406	0.000000	0.311451
