geneid	Day1.AM	Day1.PM	Day2.AM	Day2.PM
7441844	-4.32249	1.51476	-0.54957	0.80507
7441845	-0.45464	-0.07328	-0.1031	0.12747
7441847	-2.05669	1.60155	-1.25015	0.98285
7441849	0.31554	-0.95574	-1.09786	1.61976
7441851	NA	NA	NA	NA
7441853	NA	NA	NA	NA
7441854	-0.12073	-1.32334	0.0754	-0.39214
7441855	3.08165	-2.02627	0.78361	-0.39781
7441857	NA	NA	NA	NA
7441858	0.2807	0.0154	0.96837	-0.00091
7441859	0.7155	-2.40506	-0.06432	0.04008
7441865	-1.48936	-1.05435	-0.46607	0.1842
7441866	0.70481	-0.65291	0.28292	0.67194
7441868	0.73124	-0.63662	-0.16483	-1.00126
7441871	-0.81958	2.30467	-0.20754	1.48609
7441873	0.35038	1.16055	0.40379	1.41149
7441876	-3.20554	1.22382	-0.12722	0.0055
7441878	-3.4633	-0.02276	0.30834	-0.02474
7441880	-0.851	1.46505	-0.31894	0.70558
7441882	0.71689	0.83959	0.72497	0.18854
7441884	-2.74499	1.59055	-1.76561	1.14031
7441885	-1.32153	0.293	1.34218	0.47946
7441886	-5.37034	1.83287	-0.15123	0.80913
7441887	0.21906	-3.23611	1.9089	-3.75834
7441889	0.4294	-0.55844	0.81391	-0.51766
7441891	-1.33845	-1.25712	-0.02311	-0.0627
7441892	0.54485	1.50056	0.02828	0.90035
7441897	0.44323	-1.06063	0.16475	-0.09461
7441898	0.39333	0.6248	0.28691	0.26834
7441899	-2.25168	1.99855	-0.58641	0.40938
7441901	-1.0214	0.97522	-1.22669	0.30054
7441902	1.60655	-1.35941	0.57453	-1.76729
7441903	-2.06231	2.84468	-1.18056	3.35158
7441905	1.1861	0.03471	0.11132	-0.60169
7441906	-1.91276	0.23765	0.4289	-0.27172
7441907	2.19117	-1.5735	1.23123	-5.44981
7441909	-2.63058	0.92195	0.37823	0.62001
7441910	-0.11379	1.75255	-0.98948	0.74473
7441911	1.02423	-0.51915	0.95448	-0.28318
7441912	-1.48689	1.34457	-1.02534	0.46862
7441913	2.32906	-0.09221	1.41396	-3.75087
7441914	2.97261	1.1953	-1.84988	1.09443
7441916	2.94126	0.55328	0.79102	-0.88593
7441918	-0.70979	0.43188	0.01197	1.01785
7441919	-0.07008	-0.0678	-0.30718	-2.13933
7441920	-1.54728	0.48599	-0.14235	0.41018
7441922	-0.66313	0.88345	0.37375	0.11644
7441923	-2.36669	0.78664	-0.974	-0.11782
7441926	-1.45754	0.72547	-0.22052	0.1159
7441927	-2.07668	-0.07964	0.28115	-0.07603
7441928	1.50647	-0.99658	-0.4213	-3.26398
7441930	1.30056	-1.40571	0.56535	-0.59922
7441932	-0.1355	2.65403	-0.05089	1.73636
7441933	-0.59885	-1.11729	1.66436	-0.98588
7441934	-2.1881	0.45066	1.16251	0.70009
7441935	-0.98946	0.23901	4.46385	-1.10278
7441936	1.89044	-1.00673	0.56715	-1.82773
7441937	-3.78496	0.4793	0.28573	1.28949
7441938	-2.32236	-0.444	-0.21823	0.43122
7441939	-3.63164	1.52278	-2.71013	0.77274
7441942	-0.64974	-0.82244	1.41088	-1.43154
7441943	2.24233	0.72836	-0.18676	-0.84821
7441944	-0.68706	1.86517	-0.23932	2.12311
7441945	-0.18171	-0.54491	-0.3063	-0.10016
7441946	-2.45076	-0.78466	-0.09256	-0.31345
7441947	1.20035	-0.18668	0.5903	-1.34949
7441950	-2.90983	0.13662	0.68768	0.51608
7441951	-0.31418	0.88297	0.82708	0.95361
7441952	3.23136	-1.97351	3.90413	-0.46975
7441953	-2.92405	0.86629	0.29904	0.21137
7441954	1.99127	0.11382	0.90416	-1.57682
7441955	-3.85046	0.64139	-0.19578	0.67202
7441956	-1.85944	0.96333	0.6704	0.60271
7441957	-4.80463	0.76448	-0.05412	0.80984
7441958	0.39686	0.13758	-0.57883	0.17218
7441959	-0.80793	-1.84387	2.29462	-2.21916
7441960	0.66074	3.11814	-1.04815	1.24481
7441962	-2.71728	1.41509	0.33487	0.60078
7441964	-2.65453	0.95278	-1.71707	0.98688
7441965	-0.83188	0.64606	-0.94774	1.17261
7441966	1.98304	0.94377	1.84333	1.5675
7441967	-1.42529	1.04993	0.58556	0.67623
7441969	2.10054	-3.34783	1.78714	-3.47194
7441970	-3.36234	0.76954	-0.72764	1.10031
7441972	-1.38623	-0.52874	-0.67506	0.30391
7441973	4.2421	-2.17527	2.82751	-0.68595
7441974	-1.02723	-0.47834	0.80662	-0.96355
7441976	4.67588	-0.10032	-0.31015	0.26574
7441978	1.44615	-1.05502	0.40623	-0.3814
7441982	-2.81198	0.71426	-0.87882	0.52339
7441983	-2.84811	1.3674	-2.34964	0.86229
7441984	-2.90408	0.26017	0.99457	0.37601
7441985	-0.02997	0.06164	0.57467	0.21299
7441987	2.66441	0.61104	0.88102	0.11968
7441988	1.81846	0.45831	1.02961	-0.70023
7441990	-1.83998	-0.81086	-0.87544	0.13424
7441992	0.07712	-3.11757	1.60141	-1.98613
7441993	-2.45213	2.12914	-3.71344	0.93614
7441994	-1.45763	0.5195	0.4798	0.88078
7441995	-0.89441	-0.37399	0.07349	-0.94601
7441997	-3.13517	-0.28911	0.24685	-0.07883
7441998	-0.45789	3.03764	-0.38847	2.92832
7441999	-0.09921	-0.97326	-0.35141	-1.95663
7442000	-1.0109	-2.09035	-0.50233	-0.02372
7442001	1.26466	-0.73554	0.3861	-0.93577
7442002	-1.03558	-2.09718	-1.29176	-1.61184
7442003	-1.07216	-0.97041	1.60384	-0.65785
7442004	0.08029	-0.34696	-0.59356	0.51251
7442005	1.28943	0.57331	0.42931	0.40428
7442006	1.46294	0.54956	1.95389	-0.80054
7442007	-1.31808	1.52637	-0.7314	1.677
7442008	-3.47439	1.24972	-0.59551	1.75174
7442011	0.06822	1.87284	-1.65136	-0.90839
7442012	-0.01081	-0.89485	1.03615	-1.80575
7442017	0.19062	-0.5253	-0.09075	-0.0539
7442019	-4.76477	1.82943	-3.00821	1.22475
7442021	1.5201	-0.17505	0.42332	-1.10509
7442023	0.55542	-0.57158	-0.23366	-0.18043
7442025	-0.82428	-3.49358	-3.53435	-4.08813
7442029	NA	NA	NA	NA
7442030	NA	NA	NA	NA
7442032	-1.81914	2.80297	-3.51933	2.47567
7442034	0.15473	0.04814	-0.55168	-1.48061
7442035	-1.67674	-1.54407	0.04057	-0.57405
7442036	-0.48302	-0.20139	0.37801	0.12676
7442037	1.46238	-0.08427	1.16079	0.17287
7442038	-3.1729	-0.66664	-0.21868	-0.63441
7442039	1.07051	-0.60003	2.38059	-1.18769
7442042	-2.70112	1.0849	0.52643	0.15115
7442043	2.34585	-1.58017	1.15883	-2.05771
7442044	-1.67405	-1.20202	0.61581	0.39352
7442045	1.21547	-1.52503	0.94135	-2.38736
7442047	-1.01646	0.67762	0.17846	1.3706
7442050	-2.59876	-0.88993	0.65734	-1.15956
7442051	0.06044	1.30895	-1.14206	0.78025
7442054	0.89156	0.07734	0.26945	-0.66151
7442055	0.19077	1.64991	3.00129	1.99252
7442056	-4.22421	-0.87762	-2.60802	0.954
7442057	-0.68911	-0.47538	-1.055	0.03687
7442060	-3.3815	-0.003	-0.20089	0.63373
7442061	-2.33914	0.9288	0.33667	1.14063
7442062	2.59223	-1.51276	0.7205	-3.32217
7442063	0.89327	-1.77342	0.37901	-1.44868
7442064	-0.25856	-0.25076	0.37053	-0.99247
7442065	-1.18012	1.57567	-1.83828	1.08575
7442067	0.49702	0.16982	0.3664	-0.32109
7442068	-4.09778	1.95027	-4.61365	2.68375
7442070	-3.11457	0.36786	0.10336	1.10142
7442075	0.28848	0.93345	1.61892	-0.72435
7442076	2.32272	0.38741	0.57671	1.27365
7442077	-1.10284	-0.01832	-0.00068	-0.21416
7442078	-1.82536	1.90059	-2.0023	2.5073
7442081	0.16706	0.23515	0.23475	-0.19967
7442082	-0.95494	1.12113	-0.35491	1.63994
7442084	-0.80815	-0.18732	-0.53972	0.20108
7442085	-1.87927	-0.74636	-0.00323	0.14242
7442086	-1.64239	3.02411	-4.24708	1.94172
7442087	-0.25146	0.17913	0.26309	0.36426
7442090	1.87457	0.35995	1.08301	0.18656
7442091	-1.4318	1.35124	-0.34874	0.78716
7442092	3.83883	-0.5179	0.86824	0.03717
7442093	0.0896	0.65282	-1.32092	0.24999
7442095	-1.19709	-3.50099	2.38713	-2.00613
7442096	-2.01712	0.20262	-1.04117	0.23213
7442097	-0.75002	0.8372	-0.97455	0.12482
7442098	-2.96988	0.18095	-0.21929	0.87556
7442099	-2.56012	3.69907	-3.80606	4.06405
7442100	-2.70018	1.82507	-0.72891	1.67919
